,country_code,category,subcategory,source,model,name,unit,size_class,range,fuel_type,co2e_unit,co2e,seating
230,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,average,,gasoline,kg/P.km,0.186,
231,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,small,,gasoline,kg/P.km,0.1297,
232,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,medium,,gasoline,kg/P.km,0.1506,
233,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,large,,gasoline,kg/P.km,0.2004,
234,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,average,,diesel,kg/P.km,0.189,
235,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,small,,diesel,kg/P.km,0.1109,
236,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,medium,,diesel,kg/P.km,0.1322,
237,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,large,,diesel,kg/P.km,0.1757,
238,global,public_transport,train,mobitool,,Eisenbahn,P.km,,long-distance,,kg/P.km,0.0068,
239,global,public_transport,train,mobitool,,Eisenbahn,P.km,,local,,kg/P.km,0.008,
240,global,public_transport,train,mobitool,,Eisenbahn,P.km,,average,,kg/P.km,0.007,
241,global,public_transport,train,mobitool,,Strassenbahn,P.km,,local,electric,kg/P.km,0.0428,
242,DE,public_transport,train,mobitool,,Bahn Deutschland,P.km,,average,,kg/P.km,0.0408,
243,FR,public_transport,train,mobitool,,Bahn Frankreich,P.km,,average,,kg/P.km,0.0125,
244,IT,public_transport,train,mobitool,,Bahn Italien,P.km,,average,,kg/P.km,0.0747,
245,AT,public_transport,train,mobitool,,Bahn Österreich,P.km,,average,,kg/P.km,0.0151,
246,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,large,,hybrid,kg/P.km,0.1785,
247,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,small,,hybrid,kg/P.km,0.1182,
248,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,medium,,hybrid,kg/P.km,0.1397,
249,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,average,,hybrid,kg/P.km,0.1397,
250,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,average,,plug-in_hybrid,kg/P.km,0.1278,
251,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,small,,plug-in_hybrid,kg/P.km,0.0799,
252,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,medium,,plug-in_hybrid,kg/P.km,0.1278,
253,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,large,,plug-in_hybrid,kg/P.km,0.1718,
254,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,average,,electric,kg/P.km,0.0898,
255,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,small,,electric,kg/P.km,0.0599,
256,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,medium,,electric,kg/P.km,0.0697,
257,global,vehicle,car,mobitool,,Personenkraftwagen,P.km,large,,electric,kg/P.km,0.091,
258,global,public transport,plane,mobitool,,Flugzeug,P.km,,average,kerosine,kg/P.km,0.263,average
259,global,public transport,plane,mobitool,,Flugzeug,P.km,,short-haul,kerosine,kg/P.km,0.3192,average
260,global,public transport,plane,mobitool,,Flugzeug,P.km,,short-haul,kerosine,kg/P.km,0.2918,economy_class
261,global,public transport,plane,mobitool,,Flugzeug,P.km,,short-haul,kerosine,kg/P.km,0.4488,business_class
262,global,public transport,plane,mobitool,,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.2372,average
263,global,public transport,plane,mobitool,,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.1895,economy_class
264,global,public transport,plane,mobitool,,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.3914,business_class
265,global,public transport,plane,mobitool,,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.6031,first_class
266,global,public transport,ferry,mobitool,,Personenschiff,P.km,,,diesel,kg/P.km,0.1613,
267,global,vehicle,motorbike,mobitool,,Motorrad,P.km,small,,,kg/P.km,0.121,
268,global,vehicle,motorbike,mobitool,,Motorrad,P.km,medium,,,kg/P.km,0.1548,
269,global,vehicle,motorbike,mobitool,,Motorrad,P.km,large,,,kg/P.km,0.2036,
270,global,vehicle,motorbike,mobitool,,Motorrad,P.km,average,,,kg/P.km,0.1636,
271,global,vehicle,bicycle,mobitool,,Fahrrad,P.km,,,,kg/P.km,0.0056,
272,global,vehicle,pedelec,mobitool,,E-Bike,P.km,,,,kg/P.km,0.0113,
273,BA,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.84393,
274,BE,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.14427,
275,BG,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.51705,
276,CH,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0,
277,CY,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.6074,
278,CZ,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.6974,
279,DE,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.68403,
280,DK,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.5574,
281,EE,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.71518,
282,ES,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.27511,
283,FI,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.52077,
284,FR,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.12496,
285,GB,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.36515,
286,GR,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.53138,
287,HR,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.51506,
288,HU,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.31996,
289,IE,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.47484,
290,IS,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.53129,
291,IT,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.45715,
292,LT,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.46636,
293,LU,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.41968,
294,LV,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.51071,
295,ME,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.53859,
296,MT,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.40494,
297,NL,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.43897,
298,NO,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.50231,
299,PL,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.85812,
300,PT,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.44555,
301,RO,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.27575,
302,RS,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.95421,
303,SE,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.03895,
304,SI,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.3708,
305,SK,electricity,,Carbon Footprint Ltd,,Residual fuel mix factor,kWh,,,residual fuel mix,kg/kWh,0.1865,
